gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
923912887	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/823058/original.jpg	https://www.inaturalist.org/photos/823058					2014-05-01T12:59:33Z	zoedoiron		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	zoedoiron
923909460	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/345834/original.jpg	https://www.inaturalist.org/photos/345834					2013-05-26T00:00:00Z	Susan Elliott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Susan Elliott
911504405	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/902415/original.jpg	https://www.inaturalist.org/photos/902415					2014-05-22T00:00:00Z	James Steamer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	James Steamer
910501114	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/862101/original.jpg	https://www.flickr.com/photos/55368994@N06/14239684253/					2014-05-19T04:29:11Z	Scott Loarie		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Scott Loarie
910496009	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/843988/original.jpg	https://www.inaturalist.org/photos/843988					2014-05-07T11:29:23Z	David Yeany		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Yeany
910491942	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/663526/original.JPG	https://www.inaturalist.org/photos/663526					2014-02-04T17:41:42Z	Nathaniel Solley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nathaniel Solley
899980414	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/833380/original.jpg	https://www.inaturalist.org/photos/833380					2014-05-05T13:11:15Z	Kyle Jones		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kyle Jones
899979583	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/828999/original.jpg	https://www.inaturalist.org/photos/828999					2014-04-24T00:00:00Z	cassi saari		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cassi saari
899977095	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/817936/original.JPG	https://picasaweb.google.com/103744238038089080957/April292014#6007739822739463426					2014-04-28T00:00:00Z	103744238038089080957		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	103744238038089080957
899966567	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/780719/original.jpg	https://www.inaturalist.org/photos/780719					2014-04-10T16:47:30Z	Fluff Berger		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Fluff Berger
899961344	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/765066/original.jpg	https://www.inaturalist.org/photos/765066					2014-04-03T18:50:15Z	Christopher Tracey		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Christopher Tracey
899961318	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/765067/original.jpg	https://www.inaturalist.org/photos/765067					2014-04-03T18:50:29Z	Christopher Tracey		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	Christopher Tracey
899959000	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/757040/original.JPG	https://www.inaturalist.org/photos/757040					2014-03-28T15:44:10Z	boschniakia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	boschniakia
899957174	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/751460/original.JPG	https://www.inaturalist.org/photos/751460					2014-03-28T13:21:35Z	James Maughn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	James Maughn
899955483	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/761873/original.jpg	https://www.inaturalist.org/photos/761873					2014-03-28T17:24:33Z	tickqueen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tickqueen
